grunnsetning	lagfærð_setning	samþykkt	hafnað
1342 átti sér stað mikill borgarbruni í Mechelen.	Árið 1342 varð mikill borgarbruni í Mechelen.	2	0
15 framboð voru í boði, þar af 11 sem bjóða fram á landsvísu.	15 framboð voru í boði, þar af 11 sem buðu fram á landsvísu.	2	0
1803 sótti Napoleon sjálfur borgina heim.	Napoleon sótti sjálfur borgina heim 1803.	2	1
1803 sótti Napoleon sjálfur borgina heim.	Árið 1803 sótti Napoleon sjálfur borgina heim.	5	1
1815 rauf Belgía sig frá konungdæmi Niðurlanda.	1815 reif Belgía sig frá konungdæmi Niðurlanda.	1	0
1830 gerðu Belgar uppreisn og lýstu yfir sjálfstæði.	1830 gerðu Belgar uppreisn og lýstu yfir sjálfstæði sínu.	1	0
200 kílómetrar voru í þann bíl.	200 kílómetrar voru í næsta bíl.	0	1
2010 var Leikfangasaga 3 frumsýnd.	Árið 2010 var Leikfangasaga 3 frumsýnd.	0	1
230 dagar eru eftir af árinu.	Nú/Alls eru 230 dagar eftir af árinu.	0	1
26. Landsmót UMFÍ stendur yfir dagana 9. 12. júlí á Akureyri.	Dagana 9-12. júli stendur yfir 26. Landsmót UMFÍ á Akureyri.	3	4
26. Landsmót UMFÍ stendur yfir dagana 9. 12. júlí á Akureyri.	26. Landsmót UMFÍ stendur yfir dagana 9. til 12. júlí á Akureyri.	4	1
4. til 7. bekkur fór í að reyna að aga börnin til.	4. til 7. bekkur fór í að aga börnin.	1	0
Á annan tug hafa verið teknir undir áhrifum.	Á annan tug hafa verið tekin undir áhrifum.	1	0
Aðeins örfá prósent íbúa Kenía borga nokkurn skatt.	Einugis brot íbúa Kenía greiða skatta	1	0
Að fara á reiðhjól verður vinsælla í London.	Að ferðast á reiðhjóli verður vinsælla í London.	7	0
Á diski 1 eru kaflar 1 - 25 og á diski 2 kaflar 26 - 53 :	Á diski 1 eru kaflar 1 - 25 og á diski 2 eru kaflar 26 - 53 :	1	0
Að menn geti gripið til neyðarréttar.	Menn geta gripið til neyðarréttar.	1	1
Að því búnu lögðu þremenningarnir leið sína í N1 í Hveragerði.	Að svo búnu lögðu þremenningarnir leið sína í N1 í Hveragerði.	2	1
Æfðu þangað til þér líður eins og þú sért að deyja 10.	Æfðu þangað til þér líður eins og þú sért að deyja 10 sinnum.	2	0
Afhverju er hjónaband svona algengt alls staðar í heiminum?	Af hverju er hjónaband svona algengt alls staðar í heiminum?	3	0
Afhverju er þeim sem vilja játast frammi fyrir guði mismunað?	Af hverju er þeim sem vilja játast hvort öðru frammi fyrir Guði mismunað?	1	0
Aftakabylur var og mikill kuldi - 10° til -20° frost.	Það var aftakabylur og -10° til -20° frost.	1	0
Á Íslandi vex engin annar botnþörungur í eins miklu magni.	Enginn annar botnþörungur vex í eins miklu magni á Íslandi.	2	0
Á Íslandi vex engin annar botnþörungur í eins miklu magni.	Á Íslandi vex enginn annar botnþörungur í eins miklu magni.	3	1
Allt frá nýfæddum börnum uppí harðsvíraða glæpamenn.	Allt frá nýfæddum börnum upp í harðsvíraða glæpamenn.	3	2
Allt snýstu um að vinna hina skólana og vera besti skólinn.	Allt snýst um að vinna hina skólana og vera besti skólinn.	1	0
Á næstu árum hófu barnasjónvarpstöðvar sýningar á þættinum.	Á næstu árum hófu barnasjónvarpsstöðvar sýningar á þættinum.	1	0
Anna Mjöll Ólafsdóttir ( fædd 1970 ) er íslensk söngkona.	Anna Mjöll Ólafsdóttir (fædd 1970) er íslensk söngkona.	2	0
Annar hlutinn lifði fékk tækifæri en hinn ekki.	Annar lifði og fékk tækifæri en hinn ekki.	4	1
Á nýlendutíma Spánverja hefur fjallið margoft gosið.	Á nýlendutíma Spánverja gaus fjallið margoft.	4	0
Árið 1430 varð Brabant eign Búrgundar og 1477 Habsborgar.	Árið 1430 varð Brabant eign Búrgundar og árið 1477 eign Habsborgar.	1	0
Árið 1952 dvaldist hún og Magnús í París.	Árið 1952 dvöldust hún og Magnús í París.	1	0
Árin liðu og lokst kom að sjötta bekk.	Árin liðu og loks kom að sjötta bekk.	5	0
Ári seinna kom önnur Dirk Gently bók út.	Ári seinna kom önnur bók Dirk Gently út.	1	0
Á Sansibar eru aftur á móti 99% íbúanna múslimar.	Á Sansibar eru aftur á móti 99% íbúanna múslímar.	0	5
Á sumrin getur hitinn hinsvegar farið yfir 45 gráður.	Á sumrin getur hitinn hins vegar farið yfir 45 gráður.	3	1
Auk þess er væg acetonlykt af andardrættinum og mjólkinni.	Auk þess er væg asetonlykt af andardrættinum og mjólkinni.	2	1
Auk þess sprang, Pollamót og Þjóðhátíð.	Auk þess sprang, pollamót og þjóðhátíð.	0	1
Auk þess sú einfalda staðreynd að fá ferskan markvörð inn.	Auk þess snýst sú einfalda staðreynd um að fá ferskan markvörð inn.	1	0
Auk þess sú einfalda staðreynd að fá ferskan markvörð inn.	Auk þess sú einfalda staðreynd að fá óþreyttan markvörð inn.	2	0
Austraumar náðu að borginni Legazpi og eyðilögðu heil hverfi.	Aurstraumar náðu að borginni Legazpi og eyðilögðu heil hverfi.	1	0
Á veturnar leitar hún í hlýrri sjó í suðurhluta Norðursjávar.	Á veturna leitar hún í hlýrri sjó í suðurhluta Norðursjávar.	3	0
Bílum komið niður á ströndina og svæðið spólað upp.	Bílum var ekið niður á ströndina og svæðið spólað upp.	1	0
Boltinn flýgur áfram á ógnarferð.	Boltinn flýgur áfram á ógnarhraða.	2	0
Botswana er líka eitt af dreifbýlustu löndum heims.	Botswana er einnig eitt af dreifbýlustu löndum heims.	1	0
Brawn bílarnir eru léttari og gæti verið snarpari af stað.	Brawn-bílarnir eru léttari og gætu verið snarpari af stað.	1	0
Breiðablik féll niður í 3. deild.	Breiðablik féll niður í þriðju deild.	2	0
Brönugras hefur fundist allt upp í 2,200 metra hæð.	Brönugras hefur fundist í allt að 2.200 metra hæð.	3	0
Brynjar Þór er með 20 stig fyrir og Lewis 20 fyrir gestina.	Brynjar Þór er með 20 stig fyrir heimaliðið og Lewis 20 fyrir gestina.	1	0
Chas verður öskureiður og eltast við Eli um húsið.	Chas verður öskureiður og elti Eli um húsið.	1	0
Chas verður öskureiður og eltast við Eli um húsið.	Chas verður öskureiður og eltist við Eli um húsið.	1	2
Dæmi um samræmd tákn er t. d. að læra.	Dæmi um samræmt tákn er: „að læra“.	1	0
Dæmi um samræmd tákn er t. d. að læra.	Dæmi um samræmd tákn er að læra.	1	1
Dæmi um svoleiðis hljómsveit voru tildæmis The Monkees.	Dæmi um svoleiðis hljómsveit var The Monkees.	1	1
Dagurinn í dag hafði verið hans dagur.	Dagurinn í dag hefur verið dagurinn hans.	0	1
Deaner sex ára strákur sem verður bráðum sjö ára.	Deaner er sex ára strákur sem verður bráðum sjö ára.	3	2
Draumar fæðast oft jafnvel meðan að maður er enn barn.	Draumar fæðast oft jafnvel á meðan maður er enn barn.	2	0
Drög af frumvarpi verða rædd á ríkisstjórnarfundi í dag.	Drög að frumvarpi verða rædd á ríkisstjórnarfundi í dag.	4	0
Eftir 14 ára skólagöngu er þessu loksins að verða lokið.	14 ára skólagöngu er loksins að verða lokið.	0	1
Eftirminnilegasti fiskurinn?	Hver er eftirminnilegasti fiskurinn?	2	0
Eftir smá stund komu sjúkraliðarnir og lögreglan með.	Eftir smástund komu sjúkraliðarnir og lögreglan með.	0	1
Eftir smá stund komu sjúkraliðarnir og lögreglan með.	Eftir smástund komu sjúkraliðarnir og lögreglan.	3	0
Ef þau væru of veik mætti svæfa þau fyrir fullt.	Ef þau væru of veik mætti svæfa þau fyrir fullt og allt.	4	0
Ég ætla að fjalla um merkasta tímamót í mínu lífi.	Ég ætla að fjalla um merkustu tímamótin í mínu lífi.	2	0
Ég átti ekki vona á sigri um þessa mótshelgi.	Ég átti ekki von á sigri um þessa mótshelgi.	3	0
Eggið klekst út á 7 - 8 dögum eftir frjóvgun.	Eggið klekst út 7 - 8 daga eftir frjóvgun.	2	1
Ég hef ekki ennþá ákveðið mig hvern ég mun aðallega nota.	Ég hef ekki ennþá ákveðið mig hvern ég munï aðallega nota.	1	0
Ég veit ekki afhverju ég þorði ekki að gefa hann upp.	Ég veit ekki af hverju ég þorði ekki að gefa hann upp.	1	1
Ég veit hvað ég myndi gera í annað skipti.	Ég veit hvað ég mundi gera í annað skipti.	1	1
Ein aðferð biblíódrama er biblíólog.	Ein aðferð sagnaspuna er biblíólog.	1	1
Einnig hefur brotist út þetta gríðarlega gsm síma æði.	Einnig hefur brotist út þetta gríðarlega GSM-síma æði.	4	0
Einungsi tíu stig hingað til frá Íslandi í þriðja leikhluta.	Einungis tíu stig hingað til hjá íslenska liðinu í þriðja leikhluta.	2	1
Einungsi tíu stig hingað til frá Íslandi í þriðja leikhluta.	Einungis tíu stig í þriðja leikhluta hingað til frá Íslandi.	2	0
Eitt eiga meðlimirnir sameiginlegt-þeir eru allir fæddir 1979.	Eitt eiga meðlimirnir sameiginlegt: þeir eru allir fæddir 1979.	0	1
Ekkert til í þessu, segir Forstjóri VALITOR.	Ekkert til í þessu, segir forstjóri Valitor	2	0
Ekki frá ríkinu það er alveg á hreinu.	Ekki frá ríkinu, það er alveg á hreinu.	1	0
Ekki nema að Heimsstyrjöldin þriðja skelli á.	Ekki nema að þriðja heimsstyrjöldin skelli á.	1	0
Ekki nema að Heimsstyrjöldin þriðja skelli á.	Ekki nema Heimsstyrjöldin þriðja skelli á.	3	2
Eldaskildagi er þennan dag á Íslandi.	Þennan dag er eldaskildagi á Íslandi.	5	0
Elfstedentocht er líklega eitt þekktasta skautahlaup heims.	eitt þekktasta skautahlaup heims er líklega elfstedentocht	1	0
Elías Már Ómarssonlék á alls oddi og var besti maður vallarins.	Elías Már Ómarsson lék á als oddi og var besti maður vallarins.	5	0
Enda er fyrstu afmæli barns í þeirra augum stærstu tímamótin.	Enda eru fyrstu afmæli barns í þess augum stærstu tímamótin.	0	4
Enda er fyrstu afmæli barns í þeirra augum stærstu tímamótin.	Enda eru fyrstu afmæli barns í þeirra augum stærstu tímamótin.	0	1
Endurbygging borgarinnar tók síðan yfir tíu ár.	Endurbygging borgarinnar tók meira en áratug.	1	0
En eins og með önnur fíkniefni þá éta þau okkur upp að innan.	En eins og önnur fíkniefni éta þau okkur upp að innan.	1	0
En er rétt að taka að framhaldsskólanum?	En er rétt að taka af framhaldsskólanum?	1	0
En hvað vill sjálfur einstaklingurinn gera?	En hvað vill einstaklingurinn sjálfur gera?	2	0
En hver eru helstu rökin með og á móti.	En hver eru helstu rökin með og á móti?	3	0
En launaleynd hlýtur að gera eitthvað gott.	En launaleynd er ekki endilega alslæm.	1	0
Enn aðrir raða orðunum í skringilega röð.	Enn aðrir raða orðunum skringilega.	4	0
En nú er verkið sjálft hinsvegar einnig horfið.	En nú er verkið sjálft hins vegar einnig horfið.	5	1
Er leikurinn var gagnrýndur fékk hann 75 til 89 prósentur.	Er leikurinn var gagnrýndur fékk hann 75 til 89 prósentustig.	2	0
Er það rétt að sýna mynd að þessum manni.	Er það rétt að sýna mynd af þessum manni.	1	0
Er það rétt að sýna mynd að þessum manni.	Er rétt að sýna mynd af þessum manni?	3	0
Er það vonandi merki um auknar göngur í Langá.	Vonandi er það merki um auknar göngur í Langá.	1	0
Er það vonandi merki um auknar göngur í Langá.	Það er vonandi merki um auknar göngur í Langá.	2	1
Er þetta fyrsta loftborna íþróttahúsið á Íslandi.	Þetta er fyrsta loftborna íþróttahúsið á Íslandi.	3	1
Eyjan varð handanhafsumdæmi árið 1946 með umdæmisnúmerið 974.	Eyjan varð að handanhafsumdæmi árið 1946 og hlaut umdæmisnúmerið 974.	2	0
Fáninn var þó ekki formlega tekinn upp fyrr en 1952.	Fáninn var þó ekki formlega tekinn upp fyrr en árið 1952.	1	0
Faxaflói að innanverðu hafi allur verið ísilagður, ein hella.	Faxaflói að innanverðu hafi allur verið ísi lagður, ein hella.	4	1
Félagið er þekkt fyrir að tefla aðeins fram böskum í liði sínu.	Félagið er þekkt fyrir að tefla aðeins fram Böskum í liði sínu.	3	1
Félagið leikur í íslandsmóti karla í íshokkí.	Félagið leikur í Íslandsmóti karla í íshokkí.	3	0
Ferðaþjónusta er einnig vaxandi atvinnugrein.	Ferðaþjónusta er að auki vaxandi atvinnugrein.	0	1
Fifty Shades of Grey er ein vinsælasta bók allra tíma.	Fimmtíu gráir skuggar er ein vinsælasta bók allra tíma.	3	2
Fimmta hvert ár eru hátíðirnar stærri en árin á milli.	Fimmta hvert ár er hátíðin stærri en ella.	0	1
Fimmta hvert ár eru hátíðirnar stærri en árin á milli.	Hátíðirnar er stærri en vanalega fimmta hvert ár.	2	0
Fingrafar Sverrir var þó á málinu.	Fingrafar Sverris var þó á málinu.	3	0
Fisher fæddist í London, Englandi.	Fisher fæddist í London, á Englandi.	1	0
Fjórða stoðin er fastan í ramadan mánuðinum.	Fastan í ramadan mánuðinum er fjórða stoðin.	1	0
Flestir búa í hverfunum Japantown og Little Tokio.	Flestir búa í hverfunum Japantown og Little Tokyo.	1	0
Forsetinn skipar forsætisráðherrann og ríkisstjórnina.	Forseti skipar forsætisráðherra og ríkisstjórn.	1	0
Frásögn þessi er ekki staðfest af neinum samtímaheimildum.	Engar samtímaheimildir hafa staðfest þessa frásögn.	1	0
Frásögn þessi er ekki staðfest af neinum samtímaheimildum.	Engar samtímaheimildir staðfesta þessa frásögn.	1	0
Frá þessu er greint á vef the Washington Post.	Frá þessu er greint á vef The Washington Post.	4	1
Frétt birtist þess efnis birtist á heimasíðu þess í dag.	Frétt um efnið birtist á heimasíðu þess í dag.	1	1
Fyrir þá sem ekki vita hver er Savickas?	Fyrir þá sem ekki vita hver Savickas er?	1	1
Fyrir þá sem ekki vita hver er Savickas?	Fyrir þau sem ekki vita, hver er Savickas?	5	2
Fyrri hálfleikur var stjórnað af KR.	Fyrri hálfleik var stjórnað af KR.	1	0
Fyrsta kvikmyndahlutverk Atkinson var árið 1993 í Free Willy.	Fyrsta kvikmyndahlutverk Atkinsons var árið 1993 í Free Willy.	0	1
Fyrsta kvikmyndahlutverk Danson er í The Onion Field frá 1979.	Fyrsta kvikmyndahlutverk Danson er í kvikmyndeinni The Onion Field frá 1979.	0	4
Fyrsta kvikmyndahlutverk Danson er í The Onion Field frá 1979.	Fyrsta kvikmyndahlutverk Danson er í 'Laukakrinum' frá 1979.	1	0
Fyrsta kvikmyndahlutverk Day var árið 2001 í Strings.	Fyrsta kvikmyndahlutverk Day's var árið 2001 í Strings.	1	0
Fyrsta kvikmyndahlutverk Day var árið 2001 í Strings.	Fyrsta kvikmyndahlutverk Day var í Strings árið 2001.	1	0
Fyrsta plata hennar,, kom út 1996.	Fyrsta plata hennar kom út árið 1996.	4	0
Fyrsta sjónvarpshlutverk Janney var árið 1991 í Morton & Hayes.	Fyrsta sjónvarpshlutverk Janney var í Morton & Hayes árið 1991.	2	0
Gera allt sem manni langar til.	Gera allt sem mann langar til.	1	0
Gerir Dóri þetta til að líkjast hasarmyndahetjunniThe Rock.	Dóri gerir þetta til að líkjast hasarmyndahetjunniThe Rock.	0	2
Gestirnir í vandræðum með sóknarleikinn sinn.	Gestirnir í vandræðum með sóknarleik sinn.	2	1
Geta keypt sér ótal margt sem að manni langar í.	Geta keypt sér ótal margt sem þá langar í.	2	0
Geyminn er hægt að hlaða 280 sinnum	Hægt er að hlaða geyminn 280 sinnum	3	1
Geyminn er hægt að hlaða 280 sinnum	Geyminn er hægt að hlaða 280 sinnum.	4	0
Gínea-Bissá er land í Vestur-Afríku.	Gínea-Bissaú er land í Vestur-Afríku.	0	3
Gjaldmiðillinn, lilangeni, er festur við suðurafríska randið.	Gjaldmiðillinn, lilangeni, er fasttengdur suðurafríska randinu.	1	0
Glæsileg sókn og Keflvíkingar voru með 1 0 forystu í hálfleik.	Glæsileg sókn og Keflvíkingar höfðu 1-0 forystu í hálfleik.	2	0
Gólfið fór að nötra og rauður eldur kveiknar og brennir mig.	Gólfið fór að nötra og rauður eldur kviknar og brennir mig.	3	0
Gosið sést ekki á vefmyndavélum þar sem ský birgja sýn.	Gosið sést ekki á vefmyndavélum þar sem ský byrgja sýn.	5	0
Guð skapar mennina, Guð skapar líka homma og lespíur.	Guð skapar mennina, Guð skapar líka homma og lesbíur.	1	0
Hæðinn upp að þaksperrunni eru 36 metrar.	Hæðin upp að þaksperrunni er 36 metrar.	1	0
Hæsti tindur Gíneu er Nimbafjall 1.752 metra yfir sjávarmáli.	Hæsti tindur Gíneu er Nimbafjall sem er 1.752 metra hár.	1	0
Hæun fer fram á því tungumáli sem er talað á hverjum stað.	Hún fer fram á því tungumáli sem er talað á hverjum stað.	2	0
Handhrærið trönuberin, appelsínubörkin og saltið saman við.	Hrærið trönuberin og appelsínubörkinn, setjið síðan saltið saman við.	0	1
Handhrærið trönuberin, appelsínubörkin og saltið saman við.	Handhrærið trönuberjunum, appelsínuberkinum og saltinu saman.	1	0
Hann er ætlar að kaupa bjór.	Hann ætlar að kaupa bjór.	1	0
Hann er hellst við botninn eða miðsvæðis í sjónum.	Hann er helst við botninn eða miðsvæðis í sjónum.	3	0
Hann er hinsvegar ekki mótfallinn því að selja leikmanninn.	Hann er hins vegar ekki mótfallinn því að selja leikmanninn.	2	0
Hann grátbað þjóðina afsökunar á hörmulegri framistöðu liðsins.	Hann grátbað þjóðina afsökunar á hörmulegri frammistöðu liðsins.	1	0
Hann hafði staðið hinum meginn við netið nánast stjarfklofa.	Hann hafði staðið hinum megin við netið nánast stjarfklofa.	1	0
Hann hefur játað fjöldamorðin.	Hann hefur játað á sig fjöldamorðin.	1	0
Hann hefur játað fjöldamorðin.	Hann hefur játað fjöldamorðið.	2	0
Hann má heldur engann veginn missa af þessu.	Hann má heldur engan veginn missa af þessu.	8	0
Hann sækir um vinnu útum allt.	Hann sækir um vinnu út um allt.	1	0
Hann skrifaði undir samning til 31. janúar 2017 í dag.	Í dag skrifaði hann undir samning sem gildir til 31. janúar 2017.	3	0
Hann skrifar Eli bréf sem segir frá ást sinni fyrir Margot.	Hann skrifar Eli bréf sem segir frá ást hans á Margot.	5	1
Hann spilaði á bandalausan Fender Jazz bass.	Hann spilaði á bandalausan Fender Jazz-bassa.	3	1
Hann vann einnig útgefandi og blaðamaður.	Hann vann einnig sem útgefandi og blaðamaður.	1	0
Hann var þá 24 ára gamall og næstelztur átta systkina.	Hann var þá 24 ára gamall og næstelstur átta systkina.	2	0
Harðlega orðað hjá mér en satt.	Harkalega orðað hjá mér en satt.	1	0
Haukar sigruðu í 2. deild.	Haukar sigruðu 2. deild.	1	4
Hefur mest vigtast 71 kg og hæðsti aldur skráður 30 ára.	Hefur mest vigtast 71 kg og hæsti aldur skráður 30 ára.	1	0
Hefur mest vigtast 71 kg og hæðsti aldur skráður 30 ára.	Hefur mest vegið 71 kg og hæsti aldur skráður 30 ára.	2	0
Heilir mataskar hafa ekki varðveist eldri en frá 19. Öld.	Heilir mataskar hafa ekki varðveist eldri en frá nitjándu öld.	3	1
Heitið finnst þó ekki notað í á prenti fyrr en 1828.	Heitið finnst þó ekki notað á prenti fyrr en 1828.	10	0
Heitið kemur fyrst fyrir í heimildum frá Bandaríkjunum 1716.	Heitið kemur fyrst fyrir í heimildum frá Bandaríkjunum árið 1716.	4	2
Held að hann sé fínn peyji.	Ég held að hann sé fínn peyi.	2	0
Helsta stoð Sádí-Arabíska efnahagsins er útflutningur olíu.	Helsta stoð sádí-arabíska efnahagsins er útflutningur olíu.	3	1
Henni vegnaði vel og seldist hún vel.	Henni vegnaði vel og hún seldi vel.	1	0
Hérmá sjá umfjöllum Telegraph um málið	Hér má sjá umfjöllum Telegraph um málið	1	1
Hérna mun verða fjallað um þetta mál frá ýsmum sjónarhornum.	Hér verður fjallað um þetta mál frá ýsmum sjónarhornum.	2	2
Herstöð er stöð rekin af her og er í eigu hans.	Herstöðinni er sjálfseignarstofnun. 	0	1
Hér þýðir Bergen því árbakki.	Bergen þýðir því hér árbakki.	2	0
Hillupláss hættir ekki að verða verðmætt þótt ríkið eigi það.	Hillupláss missir ekki verðgildi sitt þótt ríkið eigi það.	0	1
Hjarta Bossa Nova stefnunnar er gítarinn.	Kjarni Bossa Nova stefnunnar er gítarinn.	0	1
HK eru með gott lið og spila svipaðan fótbolta og við.	HK er með gott lið og spilar svipaðan fótbolta og við.	6	0
Hraðaupphlaup eftir sjötta varða skot Arons Rafns, 15 - 9.	Eftir sjötta varða skot Arons Rafns kom hraðaupphlaup, staðan er nú 15 - 9.	2	0
Hraði þeirra mældist mest 126 kílómetra á klukkustund.	Hraði þeirra mældist mest 126 kílómetrar á klukkustund.	5	0
Hugvit okkar mannana getur verið skaðlegt náttúrunni.	Hugvit okkar mannanna getur verið skaðlegt náttúrunni.	2	0
Hún er fremur langvaxin rauðbrún á framhlið og hvít á bakhlið.	Hún er fremur langvaxin, rauðbrún á framhlið og hvít á bakhlið.	1	0
Hún er samin af Eiríki Laxdal Eiríkssyni ( 1743 – 1816 ).	Hún er samin af Eiríki Laxdal Eiríkssyni (1743–1816).	1	0
Hún er samin af Eiríki Laxdal Eiríkssyni ( 1743 – 1816 ).	Hún er samin af Eiríki Laxdal Eiríkssyni (1743 – 1816).	4	2
Hún náðu 13. sæti af 25, með 42 stig.	Hún náði 13. sæti af 25, með 42 stig.	3	0
Hún segir söngleikinn í uppáhaldi.	Hún segir söngleikinn vera í uppáhaldi.	3	1
Hún var fyrsta konan til að verða forseti í Brasilíu.	Hún var fyrsta konan sem gegndi embætti forseta í Brasilíu.	2	2
Húsið er 259 fermetrar. Var upprunalega fjós reist árið 1850.	Húsið er 259 fermetrar. Það var upprunalega fjós, sem var reist árið 1850.	1	0
Húsið er 259 fermetrar. Var upprunalega fjós reist árið 1850.	Húsið er 259 fermetrar. Það var upprunalega fjós, reist árið 1850.	5	0
Hvaða breytingar má búast við á næstu árum eða áratugum?	Hvaða breytingum má búast við á næstu árum eða áratugum?	2	0
Hvað ætli maður svo sjái.	Hvað ætli maður sjái svo.	1	0
Hvað er Uppáhalds áin / vatnið þitt?	Hver er Uppáhalds áin / vatnið þitt?	2	1
Hverjir eru uppáhalds veiðistaðirnir þínir?	Hverjir eru eftirlætisveiðistaðirnir þínir?	1	0
Í dag er sjötti bekkur nokkurn veginn búin.	Í dag er sjötti bekkur nokkurn veginn búinn.	5	1
Í Davaó býr fjöldi þjóðabrota, bæði innlendir og erlendir.	Í Davaó býr fjöldi þjóðabrota, bæði innlend og erlend.	1	0
Í eystri sigdalinum eru grunn og afrennslulaus vötn.	Í eystri sigdalnum eru grunn og afrennslislaus vötn.	1	1
Í fjölda landa þurfa atvinnuökumenn sérstök ökuskírteni.	Í fjölda landa þurfa atvinnuökumenn sérstök ökuskírteini.	1	0
Í framhaldi af þvi flautar dómari leiksins leikinn af.	Í framhaldi af því flautar dómarinn leikinn af.	3	0
Í Genk er ein nýtískulegasta Kart-brautin ( Go-Kart ) í Evrópu.	Í Genk er ein nýtískulegasta Kart-braut ( Go-Kart-braut ) í Evrópu.	0	1
Í heiðni trúðu menn á líf eftir dauðan þ. e. framhaldslíf.	Í heiðni trúðu menn á líf eftir dauðann, þ. e. framhaldslíf.	4	0
Í heimstyrjöldinni síðari hertóku nasistar borgina.	Í síðari heimsstyrjöld hertóku nasistar borgina.	0	1
Í heimstyrjöldinni síðari hertóku nasistar borgina.	Nasistar hertóku borgina í heimstyrjöldinni síðari.	1	0
Í Kenía velur folk sér bústað eftir gæðum náttúrunnar.	Í Kenía velur fólk sér bústað eftir gæðum náttúrunnar.	4	0
Í London búa um 8,5 milljónir ( 2013 ).	Í London búa um 8,5 milljónir manna ( árið 2013 ).	3	0
Inn í því eru húsaleigubætur.	Inn í þeirri tölu eru húsaleigubætur.	0	1
iPod touch ( stundum kallaður iTouch ) er tónlistarspilari,.	„IPod touch“ (stundum kallaður „iTouch“) er tónlistarspilari.	0	1
iPod touch ( stundum kallaður iTouch ) er tónlistarspilari,.	iPod touch (stundum kallaður iTouch) er tónlistarspilari.	7	0
Í rauninni sé það ekkert á við það sem þeir áttu von á.	Í rauninni er það ekkert á við það sem þeir áttu von á.	1	0
Íslenskir siðir og menning var ekki til í þeirra orðabók.	Íslenskir siðir og menning voru ekki til í orðabók þeirra.	1	1
Íslenskir siðir og menning var ekki til í þeirra orðabók.	Íslenskir siðir og menning voru ekki til í þeirra orðabók.	3	0
Í upphafi hét fylkið Oversticht ( eða bara Sticht ).	Í upphafi hét fylkið Oversticht (eða bara Sticht).	1	1
Jafnframt var hafnað kröfu um að maðurinn sætti geðrannsókn.	Jafnframt var kröfu um að maðurinn sætti geðrannsókn hafnað.	1	0
Janney lék fréttaritarann og síðan starfsmannstjórann C.	Janney lék fréttaritarann og síðan starfsmannastjórann C.	2	0
Já segja má að framhaldsnám sé mjög mikilvægt í dag.	Já, segja má að framhaldsnám sé mjög mikilvægt í dag.	3	1
Jókertöurnar voru 1, 3, 5, 4 og 0.	Jókertöurnar voru einn, þrír, fimm, fjórir og núll.	0	1
Jón Arnar Magnússon á Íslandsmetið 8 metra slétta.	Jón Arnar Magnússon á Íslandsmetið: 8 metra slétta.	2	0
Jón og unnasta hans rífast öðru hvoru.	Jón og unnasta hans rífast öðru hverju.	0	1
Jón Valgerði hugnast ekki þessar hugmyndir.	Jóni/Jónu og Valgerði hugnast ekki þessar hugmyndir.	1	0
Jú maður sér sjónvarpshandbókina.	Jú, maður sér sjónvarpshandbókina!	1	0
Jú maður sér sjónvarpshandbókina.	Jú, maður sér sjónvarpshandbókina.	4	0
Kaldhæðinn og fjarstæður húmor einkennir myndina.	Kaldhæðinn og fjarstæðukenndur húmor einkennir myndina.	2	0
Kannski að breytingarnar verði ekkert svo miklar.	Ef til vill verða breytingarnar ekki svo miklar.	1	0
Katla er staðsett suðaustan í Mýrdalsjökli.	Katla er staðsett í suðaustanverðum Mýrdalsjökli.	3	0
Keppt var í fimm liða deild og leikin tvöföld umferð.	Keppt var í fimm liða deild þar sem leikið var tvöföld umferð.	0	3
Keppt var í fimm liða deild og leikin tvöföld umferð.	Fimm lið kepptu í deildinni og leiknar voru tvær umferðir	1	0
