grunnsetning	lagfærð_setning	samþykkt	hafnað
Kirkjan var vígð árið 1695. Það tók fjórtán ár að byggja hana.	Kirkjan var vígð árið 1695. Bygging hennar tók 14 ár.	4	0
Kjörhitastigið er 25° C – 30° C	Kjörhitastig er 25° C – 30° C	1	0
Kolbrún var kjörin fegurðardrottning Reykjavíkur 1950.	Kolbrún var kjörin fegurðardrottning Reykjavíkur árið 1950.	1	1
Kyle vinnur, að sjálfsögðu, og hann og Jan fagna.	Kyle vinnur að sjálfsögðu og hann og Jan fagna.	1	0
Kyle vinnur, að sjálfsögðu, og hann og Jan fagna.	Að sjálfsögðu vinnur Kyle. Hann og Jan fagna því.	1	0
Lægsti punktur fylkisins er í 2 metra yfir sjávarmáli.	Lægsti punktur fylkisins er 2 m y.s.	1	0
Lagið vann Steinar með upptöku- og pródúserateyminu StopWaitGo.	Lagið vann Steinar með upptöku- og pródúsentateyminu StopWaitGo.	0	2
Landið er að miklu leyti hálent, en láglent við strendur.	Landið er að miklu leyti hálent en láglent við strendur.	5	1
Lando skutlar Kyle að neðstu hæð Skýjaborg í geimskipi sínu.	Lando skutlar Kyle að neðstu hæð Skýjaborgar í geimskipi sínu.	4	0
Landsvæði Bresku Kólumbíu þekur 944,735 km 2.	Landsvæði Bresku Kólumbíu þekur 944.735 ferkílómetra.	5	0
Leikarar reyna að afla jafn mikilla tekna og auðið er.	Leikarar reyna að afla jafn mikilla tekna og unnt er.	1	1
Liðið var í riðli með Sovétríkjunum, Danmörk og Spáni.	Liðið var í riðli með Sovétríkjunum, Danmörku og Spáni.	1	0
líf okkar á ekki að vera endalaust.	líf okkar eiga ekki að vera endalaus.	1	1
Líka upp á hættu að veggirnir og skorsteinninn séu að falla.	Líka upp á hættu á að veggirnir og skorsteinninn falli.	4	0
Loft-og eldflaugaárásir deiluaðila héldu áfram í dag.	Loft- og eldflaugaárásir deiluaðila héldu áfram í dag.	1	0
Löggjafarvald Sádí-Arabíu fylgir Sharia lögum Íslamstrúar.	Löggjafarvald Sádí-Arabíu fylgir Sharia-lögum Íslamstrúar.	1	2
Maður vill nota reynsluna sína til að hjálpa öðrum.	Ég vil nota reynsluna mína til að hjálpa öðrum.	2	1
Maður vill nota reynsluna sína til að hjálpa öðrum.	Maður vill nota reynslu sína til að hjálpa öðrum.	4	0
Mammú og Lay Low hita upp fyrir Of Monsters and Men í kvöld.	Mammút og Lay Low hita upp fyrir Of Monsters and Men í kvöld.	3	0
Manni færri tókst heimamönnum að halda aftan af gestunum.	??????????	0	1
Margir eltast við það að vera betri en náungin.	Margir eltast við það að vera betri en náunginn.	5	0
Margir óttuðust Japana, enda stjórnuðu þeir með grimmd.	Margir óttuðust Japani, enda stjórnuðu þeir með grimmd.	1	0
-Margir vildu nota mann, það er rétt, segir Sigurður.	Margir vildu nota mann, það er rétt, segir Sigurður.	3	2
Mark-aðurinn hrundi 1929 og almenningur tapaði fénu.	Markaðurinn hrundi árið 1929 og almenningur tapaði fé sínu.	1	0
Mark-aðurinn hrundi 1929 og almenningur tapaði fénu.	Markaðurinn hrundi 1929 og almenningur tapaði fénu.	2	0
Markakóngur var Einar Magnússon, Víkingi, með 100 mörk.	Markakóngur var Einar Magnússon, leikmaður Víkings, með 100 mörk.	3	0
Mark Webberer fremstur og Rubens Barrichello við hliði hans.	Mark Webberer fremstur og Rubens Barrichello við hlið hans.	3	0
Meðal annars var ein orsök, hækkun á undirmálslánum.	Meðal annars var hækkun á undirmálslánum ein orsök.	1	0
Menn sjá mikil tækifæri skapast með nýjum samgöngumannvirkjum.	Menn sjá fyrir sér að mikil tækifæri gætu skapast með nýjum samgöngumannvirkjum.	2	0
Mesta frost sem mælst hefur var -16,9° C í april árið 1968.	Mesta frost sem mælst hefur í apríl var -16,9° C árið 1968.	0	1
Mestan samdrátt vil ICES hafa í veiðum á norsk-íslenskri síld.	Mestan samdrátt vill ICES hafa í veiðum á norsk-íslenskri síld.	3	0
Mikið hefur verið rætt um jafnrétti á síðast liðnum árum.	Mikið hefur verið rætt um jafnrétti á síðastliðnum árum.	5	0
Mikill meirihluti íbúa Íraks, eða um 95%, aðhyllast Íslam.	Mikill meirihluti íbúa Íraks, eða um 95%, aðhyllast íslam.	2	2
Mikill munur er á menningu nyrst og syðst í Mozambique.	Mikill munur er á menningu nyrst og syðst í Mósambík.	2	0
Mikil örvænting er á svæðinu.	Mikil örvænting ríkir á svæðinu.	1	0
Miserfitt er að hitta ofaní rennurnar.	Miserfitt er að hitta ofan í rennurnar.	3	0
Mjög mörg mál hafa sömu grunn hugmynd að talningu.	Mjög mörg mál hafa sama grunnhugmynd að talningu.	1	1
Mjög mörg mál hafa sömu grunn hugmynd að talningu.	Mjög mörg mál hafa sömu grunnhugmynd að talningu.	5	0
Mótið náði hápunkti í gær og sóttu um tíu þúsund manns mótið.	Mótið náði hápunkti í gær en alls sóttu það um tíu þúsund manns.	1	0
Mundu bara, stjórnaðu peningunu, ekki láta þá stjórna þér.	Mundu bara, stjórnaðu peningunum, ekki láta þá stjórna þér.	1	1
Mun hann fylla skarð Glen Johnson sem er farinn til Liverpool.	Mun hann fylla skarð Glen Johnson, sem er farinn til Liverpool.	1	1
Nafnið er dregið af arabíska orðinu qibt sem þýðir egypskur.	Nafnið er dregið af arabíska orðinu „qibt“ sem þýðir egypskur.	1	0
Nafnið Írak er dregið af fornaldarborginni Úrúk í Súmer.	Nafnið Írak er dregið af Úrúk, fornaldarborgar í Súmer.	1	0
Nefndin tók hinsvegar ekki fyrir öll mál.	Hinsvegar tók nefndin ekki  fyrir öll mál.	1	1
Neymer segir að draumur hans sé eki á enda.	Neymar segir að draumur hans séu ekki á enda.	1	1
Neymer segir að draumur hans sé eki á enda.	Neymer segir að draumur hans sé ekki á enda.	1	0
Neymer segir að draumur hans sé eki á enda.	Neymer segir að draumur hans sé ekki enn á enda.	1	0
Nico Rosberg, tilkynnti gírkasavandræði á 29. hring.	Nico Rosberg tilkynnti vandræði með gírkassann á 29. hring.	1	0
Nútildags er byggingin notuð sem sýningaraðstaða og skrifstofa.	Núorðið er byggingin notuð fyrir sýningar og sem skrifstofa.	1	0
Nútildags er byggingin notuð sem sýningaraðstaða og skrifstofa.	Nú til dags er byggingin notuð sem sýningaraðstaða og skrifstofa.	2	0
Nútríur eru með stærri nagdýum.	Nútríur eru með stærri nagdýrum.	1	0
Nú var komið að því. Prófraun tveggja leikmanna.	Nú var komið að því: prófraun tveggja leikmanna.	2	0
Ný fjölmiðlalög verða lög fyrir Alþingi í dag.	Ný fjölmiðlalög verða lögð fyrir Alþingi í dag.	2	0
Og ef þú átt allt þetta eða ert þetta þá ertu hamingjusamur.	Ef þú átt allt þetta, eða ert þetta, þá ertu hamingjusamur.	5	0
Og má reikna með að konan verði í skýrslutöku í allan dag.	Reikna má með að konan verði í skýrslutöku í allan dag.	3	0
Ökumenn skiptu þá á sléttu þurr dekkin.	Ökumenn skiptu þá á sléttu þurrdekkin.	3	0
Opinbera tungumálið í Mósambík er Portúglaska.	Opinbera tungumálið í Mósambík er portúgalska.	1	0
Orgelið var byggt árin 1698 – 1700 af Botzon bræðrum.	Orgelið var byggt á árunum 1698 – 1700 af Botzon bræðrum.	1	0
Orkumálastjóra hafi gerð grein fyrir því.	Orkumálastjóra hafi verið gerð grein fyrir því.	5	0
Öröbum er mjög mismunað um allan heim.	Aröbum er mjög mismunað um allan heim.	1	0
Ótrúlegt atvik kláraði leikinn endanlega.	Ótrúlegt atvik gerði útaf endanlega.	0	1
Peninginn geymdi hann í Landsbankanum í formi lífeyrissparnaði.	Peninginn geymdi hann í Landsbankanum í formi lífeyrissparnaðar.	1	0
Píanó er einnig eitt af undirstöðuhljóðfærunum í Bossa Nova.	Þá er píanó einnig eitt af undirstöðuhljóðfærunum í Bossa Nova.	1	0
Plast og ál eigum við líka að endurnota.	.	0	1
Pressuvörn Dana að fara illa með okkar stúlkur þessa stundina.	Pressuvörn Dana er að fara illa með íslenska liðið þessa stundina.	1	0
Red Bull-bíllinn fór betur með dekkin en Ferrari bíll Alonso.	Red Bull-bíllinn fór betur með dekkin en Ferrari-bíll Alonso.	1	1
Rífleg úrkoma eða 1,000 mm er yfir árið.	Rífleg úrkoma, 1.000 mm, er yfir árið.	1	1
Ríkin búa við bráðabirgða stjórnarskrá sem var sett 1972.	Ríkin búa við bráðabirgðastjórnarskrá sem var samþykkt 1972.	1	0
Róleg svo lengi sem ég fékk minn skamt.	Róleg svo lengi sem ég fæ minn skamt.	0	2
RUV segir frá þessu og vitnar í Skessuhorn.	RUV segir frá og vitnar í Skessuhorn.	4	1
Sama ár gaf hann út fyrstu Latabæjar bókina.	Sama ár gaf hann út fyrstu Latabæjarbókina.	1	1
Sam Houston studdi viðbætur við sameinuð ríki Norður Ameríku.	Sam Houston studdi viðbætur við sameinuð ríki Norður-Ameríku.	0	1
Samkunda Fólksins eða Majlis al Shaab er neðri deild þingsins.	Samkunda fólksins eða Majlis al Shaab er neðri deild þingsins.	3	0
Samkvæmt grænlensku reglunum er mönnum bannað að fæða birni.	Samkvæmt grænlensku reglunum er fólki bannað að fóðra birni.	3	0
Samkvæmt vefsíðunni er rífandi gangur á Þórshöfn þessa daganna.	Samkvæmt vefsíðunni er mikil uppbygging á Þórshöfn þessa daganna.	0	1
Sannfæringakraftur hugans nær engum takmörkunum.	Sannfæringakraftur hugans hefur engin takmörk.	8	1
Sá sem fyrstur greindist var faðir barns á leiksskólanum.	Sá sem fyrstur greindist var faðir barns á leikskólanum.	4	0
Seinna kemst Richie á undan frá spítalanum og hittir Margot.	Seinna kemst Richie undan frá spítalanum og hittir Margot.	0	1
Seinna kemst Richie á undan frá spítalanum og hittir Margot.	Seinna sleppur Richie af spítalanum og hittir Margot.	0	1
Seinna meir þá ættleiddu þau stelpu.	þau ættleiddu stelpu seinna meir.	1	2
Seinna meir þá ættleiddu þau stelpu.	Seinna meir ættleiddu þau stelpu.	2	0
Sem dæmi um þetta er hægt að nefna Morgunblaðið og Dv.	Hægt er að nefna Morgunblaðið og DV sem dæmi um þetta.	2	1
Sem dæmi um þetta er hægt að nefna Morgunblaðið og Dv.	Sem dæmi um þetta má nefna Morgunblaðið og DV.	3	0
Sendingar fóru út í bláinn og liðið var fljótt pirrað.	Sendingar fóru út í bláinn og liðið varð fljótt pirrað.	2	0
Sé yndi á lífinu ekki til staðar þá er voðin vís.	Sé yndi á lífinu ekki til staðar þá er voðinn vís.	0	1
Síðan breyttist allt-ég fann ástina í lífi mínu.	Síðan breyttist allt; ég fann ástina í lífi mínu.	0	1
Síðastliðin nótt ágætlega að sögn lögreglu.	Síðastliðin nótt gekk ágætlega að sögn lögreglu.	1	0
Sigmundur segir það aldrei auðvelt að vera brautryðjandi.	Sigmundur segir aldrei auðvelt að vera brautryðjandi.	1	1
Sigríður Hvers vegna telur þú að þú sért vanhæf í þessu máli?	Sigríður, hvers vegna telur þú að þú sért vanhæf í þessu máli?	5	0
Sigrún Lilja er hjá ráðgjafaþjónstu félagsins.	Sigrún Lilja er hjá ráðgjafaþjónustu félagsins.	1	0
Sjóner sögu ríkari.	Sjón er sögu ríkari.	2	0
Skelin þarf að vera mjúk svo hún geti hryngt.	Skelin þarf að vera mjúk svo hún geti hrygnt.	2	0
Skjálftinn fannst vel í Hveragerði og Selfossi.	Skjálftinn fannst vel í Hveragerði og á Selfossi.	1	0
Skólinn rúmar nú 1100 nemendur og samt kvartar engin.	Skólinn rúmar nú 1100 nemendur og enginn engin.	0	5
Skólinn rúmar nú 1100 nemendur og samt kvartar engin.	Skólinn rúmar nú 1100 nemendur og samt kvartar enginn.	2	0
Smá saman tapar boltinn hæð og hann lendir í netinu.	Smám saman tapar boltinn hæð og hann lendir í netinu.	1	0
Söngvarinn gaf út plötuna Paula þann fyrsta júlí síðastliðinn.	Söngvarinn gaf út plötuna Paula hinn fyrsta júlí síðastliðinn.	0	1
Spenging átti sér stað á vinnusvæði við Borgartún 7 rétt áðan.	Spenging varð á vinnusvæði við Borgartún 7 rétt í þessu.	1	1
Stjörnunni tókst svo að gera útum leikinn á 81. mínútu.	Stjörnunni tókst svo að gera út um leikinn á 81. mínútu.	6	0
Stórt svæði eyðilagðist undir 9m þykku öskulagi.	Stórt svæði eyðilagðist undir 9 m þykku öskulagi.	4	0
Stuttmyndin fékk óskarsverðlaun í teiknimyndaflokki.	Stuttmyndin fékk Óskarsverðlaun í teiknimyndaflokki.	2	0
Sunna er það met orðin fljótasta íslenska konan frá upphafi.	Sunna er með því meti orðin fljótasta íslenska konan frá upphafi.	1	0
Sunna er það met orðin fljótasta íslenska konan frá upphafi.	Sunna er  með þessu meti orðin fljótasta íslenska konan frá upphafi.	2	0
Sú umræða hefur raunar verið í gangi lengi.	Sú umræða hefur raunar lengi staðið yfir.	2	0
Svaraðu fyrir þig !	Svaraðu fyrir þig!	3	0
Svo ætla þau út til Ítalíu og klára Masterinn á þremur árum.	Svo ætla þau út til Ítalíu og klára meistaragráðu á þremur árum.	2	0
Svo hef ég alltaf farið í Blöndu og Stóru laxá.	Svo hef ég alltaf farið í Blöndu og Stóru-Laxá.	4	0
Svona snjóhús var notað í aðeins einn eða tvo daga.	Svona snjóhús var aðeins notað í einn eða tvo daga.	1	0
Tablut er leikið á borði með 81 reit eða 9 reitir á hvern kant.	Tablut er leikið á borði með 81 reit eða níu reitum á hverri hlið.	5	1
Tansanía er 31. stærsta land heims.	Tansanía er númer 31 í röð stærstu landa heims.	0	1
Tekju mikil vinna stuðlar að góðum auð.	Tekjumikil vinna stuðlar að góðum auð.	6	1
The Mahavishnu Orchestra spilaði tónlist í rokkaðri kanntinum.	The Mahavishnu Orchestra spilaði tónlist í rokkaðri kantinum.	2	0
The Rasmus er finnsk rokkhljómsveit stofnuð 1994.	The Rasmus er finnsk rokkhljómsveit, stofnuð 1994.	1	0
Thompson fæddist í Richmond, Virginíu.	Thompson fæddist í Richmond í Virginíu.	2	2
Til að glöggva á þessu er gott að stilla upp einföldu dæmi.	Til að glöggva sig á þessu er gott að stilla upp einföldu dæmi.	3	0
Til eru margar gerðir Skuldabréfa sem virka á misjafnan hátt.	Til eru margar gerðir skuldabréfa sem virka á misjafnan hátt.	3	0
Til stóð að reisa höllina á laugardagsmorguninn.	Til stóð að reisa höllina á laugardagsmorgninum.	5	0
Tökum til dæmis samræmt stúdentspróf.	Tökum sem dæmi samræmt stúdentspróf.	1	1
Tónlist er eitt mikilvægasta tjáningaform sem mannkynið hefur.	Tónlist er eitt mikilvægasta tjáningarformið sem mannkynið hefur.	2	1
Tottenham ku einnig hafa verið inni í myndinni hjá Davids.	Tottenham hefur einnig verið inni í myndinni hjá Davids.	1	1
Tvær ástæður geta legið að baki þess.	Tvær ástæður geta legið að baki því.	1	0
Tvígilt járn er leysist vel upp í vatni en þrígilt ekki.	Tvígilt járn leysist vel upp í vatni en þrígilt járn ekki.	2	0
Uggar eru beittir honum til varnar.	Uggum var beitt honum til varnar.	1	1
Um vorið 1945 voru Bandarískar hersveitir komnar til Mindanaó.	Um vorið 1945 voru bandarískar hersveitir komnar til Mindanaó.	2	1
Undir lokin voru svo Fylkismenn æfir og réttilega.	Undir lokin voru Fylkismenn æfir, og það réttilega.	1	0
Væntingarnar voru litlar og liðinu var spáð 5. - 6. sæti.	Væntingarnar voru litlar og liðinu var spáð 5.–6. sæti.	5	0
Valsarar urðu Íslandsmeistarar í karlaflokki og kvennaflokki.	Valsarar urðu Íslandsmeistarar í kvenna- og karlaflokki. 	0	1
Valsstúlkur urðu Íslandsmeistarar í meistaraflokki kvenna.	Valskonur urðu Íslandsmeistarar í meistaraflokki kvenna.	3	2
Varð að endurtaka þau réttarhöld.	Varð að endurtaka réttarhöldin.	2	0
Vegirnir eru númeraðir frá E 1 og uppeftir.	Vegirnir eru númeraðir frá E 1 og uppúr.	3	0
Verið er að þróa nýja gerð rafhlaðna sem kölluð er Power Paper.	Verið er að þróa nýja gerð rafhlaða sem kölluð er Power Paper.	1	0
Verkalýðsfélagið Framsýn ætlar að bjóða upp á kaffi og meððí.	Verkalýðsfélagið Framsýn mun bjóða upp á kaffi og meððí.	1	1
Vestmannaeyjar eru oft notuð sem samheiti yfir Vestmannaeyjabæ.	Vestmannaeyjar er oft notað sem samheiti yfir Vestmannaeyjabæ.	5	0
Viðburðurinn er sjónvarpaður og hefur vakið mikla eftirtekt.	Viðburðinum er sjónvarpað og hefur hann vakið mikla eftirtekt.	1	0
Við erum búin að reyna að selja hver öðrum verðbréf.	Við erum búin að reyna að selja hvert öðru verðbréf.	3	0
Við erum því efstir, lang efstir í fæðukeðjunni.	Við erum því efstir, langefstir, í fæðukeðjunni.	4	0
Við gerðum þetta vel fyrir utan smá vesen til að byrja með.	Við gerðum þetta vel að frátöldu smávegis umstangi í byrjun.	0	1
Við höfum skaða jörðina gífurlega.	Við höfum skaðað jörðina gífurlega.	1	0
Við jarðarbúar höfum mengað mikið frá okkur í gengum tíðina.	Við jarðarbúar höfum mengað mikið í gegnum tíðina.	1	0
Við tekur gríðarleg leit af rétta nashyrningnum.	Við tekur gríðarleg leit að rétta nashyrningnum.	2	0
Við viljum ekki selja best mennina okkar.	Við viljum ekki selja bestu mennina okkar.	4	0
Við vorum alveg að vera komin að Ártúnsbrekkunni.	Við vorum rétt ókomin að Ártúnsbrekkunni.	1	0
Vínbúðirnar er eru eins og aðrar verslanir.	Vínbúðirnar eru eins og aðrar verslanir.	5	0
Von er á hópi ferðamanna í kvöld sem eru að koma að austan.	Von er á hópi ferðamanna að austan í kvöld.	4	0
Vörn íslenska liðsins verið afar góð og Danirnir eiga fá svör.	Vörn íslenska liðsins hefur verið afar góð og Danir áttrið afar góð og Danirnir eiga fá svör.	0	2
Vörn íslenska liðsins verið afar góð og Danirnir eiga fá svör.	Vörn íslenska liðsins hefur verið afar góð og Danirnir eiga fá svör.	2	0
Yfirleitt enda þau í allt öðru starfi en þeim dreymir um.	Yfirleitt enda þau í öðru starfi en þau dreymir um.	1	0
Zoom merkir rönd ( sbr. Saum á þýsku ).	Zoom merkir rönd (sbr. Saum á þýsku).	7	0
Það að kunna að meta það sem að maður hefur það er ómetanlegt.	Það að kunna að meta það sem maður hefur er ómetanlegt.	1	0
Það að kunna að meta það sem að maður hefur það er ómetanlegt.	Það er ómetanlegt að kunna að meta það sem maður hefur.	2	0
Það er áhyggjuefni að enn búa tíu manns á Kópavogshæli.	Það er áhyggjuefni að enn búi tíu manns á Kópavogshæli.	4	0
Það er ekki gott að fólk, né börn fari inn í húsið.	Það er ekki gott að fólk eða börn fari inn í húsið.	1	0
Það er enginn breyting.	Það er engin breyting.	1	0
Það er enn í dag eitt mesta fjöldamorð í hollenskri sögu.	Enn þann dag í dag er þetta mesta fjöldamorð í hollenskri sögu.	1	0
Það er enn í dag eitt mesta fjöldamorð í hollenskri sögu.	Þetta er mesta fjöldamorð í sögu Hollands.	1	0
Það er fimm manneskjur ( í dómnefnd ) sem eru kannski ósamála.	Það eru fimm manneskjur í dómnefnd, sem kannski eru ósamála.	2	3
Það er komið í lok oddalotu í þriðja setti.	Það er komið að lokum oddalotu í þriðja setti.	1	0
Það er lengsta eldgos á Íslandi frá því að sögur hófust.	Það er lengsta eldgos á Íslandi á sögulegum tíma.	2	2
Það er spurning sem aðeins tíminn getur gefið í ljós.	Það er spurning sem aðeins tíminn getur látið í ljós.	2	1
Það eru alltaf breytingar þótt að þær séu litlar.	Það eru alltaf breytingar þó þær séu litlar.	1	0
Það tók kviðdóm hinns vegar aðeins átta mínútur að sýkna hann.	Það tók kviðdóm hins vegar aðeins átta mínútur að sýkna hann.	1	0
Það var svona spurningamerki hvað vð sæjum yfir vetrarmánuðina.	Það var spurning hvað við sæjum yfir vetrarmánuðina.	1	0
Það verður hins vegar ekki litið framhjá ákvörðun van Gaal.	Það verður hinsvegar ekki litið framhjá ákvörðun van Gaal.	0	3
Það þyrfti að vinna að ötulli kennslu í tímatöku.	Það þyrfti að kenna tímatöku vel og vandlega.	2	0
Þá hefur brennisteinslykt fundit af ánum.	Þá hafa árnar lyktað af brennisteinsfnyk.	1	1
Þá hinsvegar tóku FH-ingar aftur við sér og skoruðu annað mark.	Þá tóku FH-ingar hins vegar aftur við sér og skoruðu annað mark.	2	0
Þá hinsvegar tóku FH-ingar aftur við sér og skoruðu annað mark.	Þá tóku FH-ingar aftur við sér og skoruðu annað mark.	2	0
Þang eins og klóþang er víða nytjað til alskonar framleiðslu.	Þang eins og klóþang er víða nytjað til allskonar framleiðslu.	1	1
Þar eiga þeir að leika listir sínar þar á meðal galdra.	Þar eiga þeir að leika listir sínar, þar á meðal galdra.	3	0
Þar má nefna hljómsveitina Wham !	Þar má nefna hljómsveitina Wham!	1	0
Þarmeð áætlar Kyle að fara í Skýjaborg.	Þar með áætlar Kyle að fara í Skýjaborg.	1	0
Þarmeð áætlar Kyle að fara í Skýjaborg.	Þar með áætlar Kyle að fara til Skýjaborgar. 	4	0
Þarna geta peningarnir einnig verið eru stöðutákn.	Þarna geta peningarnir einnig verið stöðutákn.	6	0
Þar segir að talið er að einkaneysla hafi aukist um 1,7%.	Þar segir að talið sé að einkaneysla hafi aukist um 1,7%.	4	0
Þar tapaði liðið fyrir vestur-Þýskalandi í úrslitum.	Þar tapaði liðið fyrir Vestur-Þýskalandi í úrslitum.	3	1
Þátturinn er síðan endursýndur kl. 21 : 45 i kvöld.	Þátturinn er síðan endursýndur kl. 21:45 i kvöld.	4	0
Þau eru föst á sama stað í lífinu og komst ekkert áfram.	Þau eru föst á sama stað í lífinu og komast ekkert áfram.	3	0
Þau hitti hokkí-liðið í bænum og tóku örstuttan leik með þeim.	Þau hitty hokkíliðið í bænum og tóku örstuttan leik með þeim.	0	5
Þau voru hinsvegar heil á húfi, en var illa brugðið.	Þau voru hinsvegar heil á húfi, en þeim var illa brugðið.	3	3
Þá var hins vegar of mikill vindur til verksins.	Þá var hins vegar of mikill vindur til verksins. (Fer eftir samhengi)	0	1
Þeir byrjar hinsvegar nánast aldrei saman inná vellinum.	Þeir byrjar hinsvegar nánast aldrei saman inni á vellinum.	1	0
Þeir byrjar hinsvegar nánast aldrei saman inná vellinum.	Þeir byrja hinsvegar nánast aldrei saman inni á vellinum.	2	0
Þeir eru fyrst og fremst í Oman.	Þeir eru í Oman fyrst og fremst.	1	0
Þeir vakna á sjúkrabeði það sem Ófeigur fagnar þeim vel.	Þeir vakna á sjúkrabeði þar sem Ófeigur fagnar þeim vel.	2	0
Þessi nýi leiðtogi kallaðist Imam.	Nýi leiðtoginn kallaðist Imam.	4	1
Þessum hátíðum fylgja gríðarlegt álag fyrir lögreglunnar.	Þessum hátíðum fylgja gríðarlegt álag fyrir lögregluna.	1	3
Þessum hátíðum fylgja gríðarlegt álag fyrir lögreglunnar.	Þessum hátíðum fylgir gríðarlegt álag fyrir lögregluna.	7	0
Þetta ein skelfilegustu flóð í manna minnum á þessu svæði.	Þetta eru ein skelfilegustu flóð í manna minnum á þessu svæði.	2	0
Þetta er bara slúður af verstu tegund og ekki svaravert.	Þetta er bara slúður af verstu tegund og ekki svara vert.	0	1
Þetta er örlítil lægra hlutfall en á undanförnum tveimur árum.	Þetta er örlítið lægra hlutfall en á undanförnum tveimur árum.	4	0
Þetta er rosalega mikið haltu mér slepptu mér.	Þetta er rosalega mikið haltu-mér-slepptu-mér.	3	1
Þetta eru jú, bestu ár lífsins.	Þetta eru jú bestu ár lífsins.	0	1
Þetta eru jú, bestu ár lífsins.	Þetta eru, jú, bestu ár lífsins.	1	1
Þetta eru svokallaðar MP3 skrár sem að þú getur sókt á netinu.	Þetta eru svokallaðar MP3-skrár sem þú getur sótt á netinu.	2	0
Þetta eru svokallaðar MP3 skrár sem að þú getur sókt á netinu.	Þetta eru svokallaðar MP3 skrár sem þú getur sótt á netinu.	3	0
Þetta er val sem hver verður að svara fyrir sjálfan sig.	Þetta er smekksatriði.	0	1
Þetta hefur legið fyrir í mörg ár?	Hefur þetta legið fyrir í mörg ár?	5	0
Þetta kemur fram á vefsíðu Hagastofunnar.	Þetta kemur fram á vefsíðu Hagstofunnar.	3	0
Þetta kemur fram í tilkynningu frá almannavörnum.	Þetta kemur fram í tilkynningu frá Almannavörnum.	1	0
Þetta lífgar upp á fjölbreytileikann í matmenningu Íslendinga.	Þetta lífgar upp á fjölbreytileikann í matarmenningu Íslendinga.	1	0
Þetta reyndust vera stærsta kolasvæði Belgíu.	Þetta reyndist vera stærsta kolasvæði Belgíu.	2	0
Þetta sagði Assad í viðtali við þýskan fjölmiðilinn ARD í dag.	Þetta sagði Assad í viðtali við þýska fjölmiðilinn ARD í dag.	6	0
Þetta segirRagnar Aðalsteinsson, hæstaréttarlögmaður.	Þetta segir Ragnar Aðalsteinsson, hæstaréttarlögmaður.	4	0
Þetta var árið 1991, en þá var Mustafa sjö ára gamall.	Þetta var árið 1991 en þá var Mustafa sjö ára gamall.	2	1
Þetta voru bæði verslunar, geymslu – og íbúðarhús.	Þetta voru verslunar, geymslu – og íbúðarhús.	4	3
Þetta þýðir á íslensku : æskunni er sóað á hina ungu.	Þetta þýðir á íslensku: æskunni er sóað á hina ungu.	1	1
Þingið getur fellt úr gildi þessi lög.	Þingið getur fellt þessi lög úr gildi.	1	0
Þingið hefur samt í raun enginn völd.	Þingið hefur samt engin völd í raun.	2	0
Þór Akureyri sigraði í 2. deild og tók sæti ÍBK.	Þór, Akureyri sigraði í annari deild og tók sæti ÍBK.	1	0
Þór Vestmannaeyjum féll í 3. deild.	Þór Vestmannaeyjum féll til 3. deildar. 	1	2
Því betur fer er það alls ekki rétt.	Sem betur fer er það alls ekki rétt.	3	0
Því getur samkynhneigði ekki verið andstætt Guðs vilja.	Því getur samkynhneigð ekki verið andstætt Guðs vilja.	0	1
Því næst kom ingvaldur Ásgeirsson með tæpar 14 milljónir.	Næstur kom Ingvaldur Ásgeirsson með tæpar 14 milljónir.	1	0
Því næst kom ingvaldur Ásgeirsson með tæpar 14 milljónir.	Því næst kom Ingvaldur Ásgeirsson með tæpar 14 milljónir.	1	0
Þyrlan lenti síðan í Reykjavík á sjötta tímanum.	Á sjötta tímanum lenti þyrlan síðan í Reykjavík.	0	1
