setning	einkunn	atkvæði
10. maí 1940 réðust Þjóðverjar inn í Holland.	10.0	1
1125 kom borgin Breda fyrst við skjöl og var þá bær.	5.0	1
1342 átti sér stað mikill borgarbruni í Mechelen.	4.33	3
15 framboð voru í boði, þar af 11 sem bjóða fram á landsvísu.	5.0	1
1793 hertók franski byltingarherinn borgina í nokkra mánuði.	9.0	1
1803 sótti Napoleon sjálfur borgina heim.	4.75	4
1815 rauf Belgía sig frá konungdæmi Niðurlanda.	8.0	2
1830 gerðu Belgar uppreisn og lýstu yfir sjálfstæði.	5.0	1
1900 kom upp faraldur í borginni og hún var brennd til grunna.	3.5	2
1926 gekk flokkurinn í Alþjóðasamband jafnaðarmanna.	5.0	1
200 kílómetrar voru í þann bíl.	1.0	1
2010 var Leikfangasaga 3 frumsýnd.	5.0	2
230 dagar eru eftir af árinu.	7.0	2
235 dagar eru eftir af árinu.	5.0	1
26. Landsmót UMFÍ stendur yfir dagana 9. 12. júlí á Akureyri.	3.4	5
28. október 2009 hófst gos í Mayon á ný.	10.0	1
4. til 7. bekkur fór í að reyna að aga börnin til.	5.0	1
Á 6. áratugnum endurbætti Ruben alkalín-mangan rafhlöðuna.	5.0	1
Á 90 mínútum fékk heimsbyggðin trú á knattspyrnu frá Afríku.	7.0	1
Á annan tug hafa verið teknir undir áhrifum.	5.0	2
Aðeins örfá prósent íbúa Kenía borga nokkurn skatt.	2.0	1
Aðeins um 5% svæði fylkisins er hentugt til ræktunar.	4.0	2
Að fara á reiðhjól verður vinsælla í London.	4.0	2
Aðferðin reyndist nothæf á sum vefjasýnin, en ekki önnur.	10.0	1
Á diski 1 eru kaflar 1 - 25 og á diski 2 kaflar 26 - 53 :	7.0	2
Að menn geti gripið til neyðarréttar.	6.5	2
Aðrir listamenn komu einnig upp á yfirborðið.	5.0	1
Að trúa er ávallt fyrsta skrefið í ferðarlagi hetjunnar.	6.5	2
Að því búnu lögðu þremenningarnir leið sína í N1 í Hveragerði.	5.0	1
Æfðu þangað til þér líður eins og þú sért að deyja 10.	5.0	1
Af heildarinnflutningnum eru 30% flutt inn pillað.	0.0	1
Afhverju er hjónaband svona algengt alls staðar í heiminum?	5.0	1
Afhverju er þeim sem vilja játast frammi fyrir guði mismunað?	5.0	1
Aftakabylur var og mikill kuldi - 10° til -20° frost.	2.0	1
Á fyrri tímum var tónlistin mun fágaðri heldur en hún er í dag.	5.0	1
Af þessu leiddi, að hann var sjálfur orðinn brunnur þekkingar.	5.0	1
Ágóðinn á sýningunni fór til norskra og franskra barna.	5.0	1
Á hrygningartímabilinu eru dýrin á grynnra vatni.	5.0	1
Áin á upptök sín í Viktoríuvatni og heitir þar Viktoríu-Níl.	5.0	1
Á Íslandi er óhemju mikið af nýríkum mönnum.	8.0	1
Á Íslandi vex engin annar botnþörungur í eins miklu magni.	4.67	3
Á langkeyrslum eyðir hann rétt um tólf á hundraði.	5.0	1
Alkohólgufan er þéttuð aftur með sérstöðum tækjum.	5.0	1
Alla markaskorara og úrslit dagsins má sjá hér að ofan.	10.0	1
Alltaf að breyta og bæta Tinna lauk náminu árið 2012.	2.5	2
Allt frá nýfæddum börnum uppí harðsvíraða glæpamenn.	5.0	1
Allt snýstu um að vinna hina skólana og vera besti skólinn.	5.0	1
Alsír er land í Norður-Afríku og stærsta ríki Afríku.	5.0	1
Á milli 4.000 tl 6.000 manns sáu leiksýningarnar í hverri viku.	2.5	2
Á morgun fara fram síðari viðureignirnar í 8 liða úrslitum.	3.5	2
Á næstu árum hófu barnasjónvarpstöðvar sýningar á þættinum.	0.0	1
Anna Mjöll Ólafsdóttir ( fædd 1970 ) er íslensk söngkona.	4.0	2
Annar hlutinn lifði fékk tækifæri en hinn ekki.	0.0	1
Á nýlendutíma Spánverja hefur fjallið margoft gosið.	5.0	1
Árið 1430 varð Brabant eign Búrgundar og 1477 Habsborgar.	6.5	2
Árið 1871 varð það 6. hérað Kanada.	10.0	1
Árið 1944 er ritað MCMXLIV í rómverskum tölum	7.33	3
Árið 1952 dvaldist hún og Magnús í París.	3.0	1
Árið 1969 var leikrit hans Verndarengillinn flutt.	10.0	2
Árið 2000 var Mayon gert að þjóðgarði.	7.0	1
Árið 2009 keypti Volkswagen rúmlega 49% hlut í Porsche.	8.0	1
Árin liðu og lokst kom að sjötta bekk.	5.0	2
Árin sem flestir velja sem bestu ár lífs síns.	5.0	1
Ári seinna kom önnur Dirk Gently bók út.	3.0	1
Ári síðar fékk myndin verðlaun sem besta teiknimynd óskarsins.	5.0	1
Árlegar tekjur eru 850 milljónir breskra punda.	6.5	2
Ármenningar sigruðu í 2. deild og færðust upp í þá fyrstu.	5.0	1
Á Sansibar eru aftur á móti 99% íbúanna múslimar.	6.67	3
Á sumrin getur hitinn hinsvegar farið yfir 45 gráður.	4.0	1
Auk Benedikts og Jóns mun Árni Þór Árnason synda.	5.0	1
Auk þess er væg acetonlykt af andardrættinum og mjólkinni.	5.5	2
Auk þess sprang, Pollamót og Þjóðhátíð.	5.0	1
Auk þess sú einfalda staðreynd að fá ferskan markvörð inn.	4.0	2
Austraumar náðu að borginni Legazpi og eyðilögðu heil hverfi.	5.0	1
Á veturnar leitar hún í hlýrri sjó í suðurhluta Norðursjávar.	1.0	3
Bæjarhúsin voru rifin 1965.	7.0	2
Bassatromman er svo spiluð á fyrsta og þriðja slagi.	7.0	1
Bílum komið niður á ströndina og svæðið spólað upp.	2.0	1
Birt með góðfúslegu leyfi SVFR	5.0	1
Bjarni gat ekki leynt því að honum langaði á punktinn.	5.0	1
Boltinn flýgur áfram á ógnarferð.	1.0	1
BOPE liðar hafa hin ýmsu hlutverk og markmið.	5.0	1
Bossa Nova er spilað á 2/4 slagi rétt eins og samba tónlist.	10.0	1
Botswana er líka eitt af dreifbýlustu löndum heims.	6.5	2
Brawn bílarnir eru léttari og gæti verið snarpari af stað.	4.5	2
Breiðablik féll niður í 3. deild.	5.0	1
Breiðablik hafnaði í neðsta sæti og féll í 2. deild.	5.0	2
Breiðabliksstúlkur sigruðu í 2. deild og tóku sæti Ármenninga.	8.33	3
Brönugras hefur fundist allt upp í 2,200 metra hæð.	5.0	2
Brynjar Þór er með 20 stig fyrir og Lewis 20 fyrir gestina.	3.0	2
Búðin gekk vel og rak hún hana í átta ár.	0.0	1
Byggingu hans var lokið árið 1976.	6.5	2
Chas verður öskureiður og eltast við Eli um húsið.	4.33	3
Chas þakkar Royal fyrir að bjarga synunum sínum.	5.0	1
Dæmi eru um slíkt frá þjóðþingum annarra ríkja.	5.0	1
Dæmi um samræmd tákn er t. d. að læra.	1.0	2
Dæmi um svoleiðis hljómsveit voru tildæmis The Monkees.	4.33	3
Dagurinn í dag hafði verið hans dagur.	5.0	2
Danmörk þá er menntaskólinn þar styttri en hér.	0.0	1
Davy rannsakaði aðgreiningu efna ( sem kallað er rafgreining ).	3.0	1
Deaner sex ára strákur sem verður bráðum sjö ára.	4.0	2
Draumar fæðast oft jafnvel meðan að maður er enn barn.	5.0	1
Drög af frumvarpi verða rædd á ríkisstjórnarfundi í dag.	0.0	1
Eftir 14 ára skólagöngu er þessu loksins að verða lokið.	5.0	1
Eftir kaupin leit því út fyrir heilmikla viðgerð.	10.0	1
Eftir klukkutímaleik gerðu Belgarnir tvöfalda breytingu.	5.0	1
Eftirminnilegasti fiskurinn?	4.0	1
Eftir smá stund komu sjúkraliðarnir og lögreglan með.	5.0	2
Eftir það bjuggu frísar á svæðinu.	5.0	1
Eftir það frelsar Lando Leiu, Chewbacca og C3PO.	5.0	2
Ef þau væru of veik mætti svæfa þau fyrir fullt.	2.0	1
Ég ætla að fjalla um merkasta tímamót í mínu lífi.	4.0	2
Ég átti ekki vona á sigri um þessa mótshelgi.	5.0	1
Ég fyrir löngu búinn að ákveða það.	2.5	2
Eggið klekst út á 7 - 8 dögum eftir frjóvgun.	5.0	1
Ég hef ekki ennþá ákveðið mig hvern ég mun aðallega nota.	5.0	3
Ég hef ekki mikla þolinmæði lengur.	6.5	2
Ég hef snúist í hringi á meðan á þessu stríði hefur staðið.	6.0	2
Ég kveikti á krananum og stakk höndunum undir og skvetti á mig.	2.5	2
Ég myndi reyna allt sem í mínu valdi til þess að eignast það.	5.0	1
Ég veit ekki afhverju ég þorði ekki að gefa hann upp.	5.0	1
Ég veit hvað ég myndi gera í annað skipti.	5.0	1
Ég veit það mæta vel að Stúdentspróf er heldur ekki nóg.	2.5	2
Eiga allir sem einn lof skilið fyrir sína frammistöðu.	5.0	1
Ein aðferð biblíódrama er biblíólog.	0.5	2
Eina forna hljóðfærið er mungígan frá Stóru-Borg.	5.0	2
Ein nauðgun var kærð til lögreglunni á Hvolsvelli í nótt.	5.0	1
Einnig eru það tímarnir sem eru sí að breytast.	4.0	3
Einnig hefur brotist út þetta gríðarlega gsm síma æði.	3.0	1
Eins og stendur er stjórnarflokkurinn, CCM, með 93% þingsæta.	5.0	1
Einstaklingurinn öðlast aukna víðsýni og lífsreynslu.	9.0	1
Einungsi tíu stig hingað til frá Íslandi í þriðja leikhluta.	1.5	2
Eitt eiga meðlimirnir sameiginlegt-þeir eru allir fæddir 1979.	5.0	1
Ekkert til í þessu, segir Forstjóri VALITOR.	5.0	1
Ekkert vantar uppá að Raggi sé kampakátur og sigurviss.	10.0	1
Ekki eru þó full vissa fyrir því að Wolin sé Jómsborg.	3.0	2
Ekki frá ríkinu það er alveg á hreinu.	5.0	1
Ekki nema að Heimsstyrjöldin þriðja skelli á.	5.0	2
Eldaskildagi er þennan dag á Íslandi.	5.0	1
Elfstedentocht er líklega eitt þekktasta skautahlaup heims.	7.0	2
Elías Már Ómarssonlék á alls oddi og var besti maður vallarins.	5.0	1
En aðeins sjö árum síðar hófust siðaskiptin í borginni.	7.0	1
Enda er fyrstu afmæli barns í þeirra augum stærstu tímamótin.	2.75	4
Endurbygging borgarinnar tók síðan yfir tíu ár.	5.0	2
En eins og með önnur fíkniefni þá éta þau okkur upp að innan.	5.0	1
En er rétt að taka að framhaldsskólanum?	5.0	1
En hvað vill sjálfur einstaklingurinn gera?	5.0	1
En hver eru helstu rökin með og á móti.	5.0	1
En launaleynd hlýtur að gera eitthvað gott.	5.33	3
Enn aðrir raða orðunum í skringilega röð.	3.0	1
En nú er verkið sjálft hinsvegar einnig horfið.	5.0	2
Enn það er bara ekkert rétt.	2.5	2
En svona útreið?	5.0	1
En þá yrðu vandræði að losna við aðrar afurður svínanna.	3.0	1
En þýðir það þá að við eigum að vera yfirmynda kotroskinn?	5.0	1
Er álagið nú komið nokkuð undir 600 punkta.	6.5	2
Er enginn rígur á milli skóla?	5.0	2
Er leikurinn var gagnrýndur fékk hann 75 til 89 prósentur.	5.0	1
Er með fjarka í silungin.	3.4	5
Eru öll dýrin jöfn en bara sum jafnari en önnur?	7.67	3
Er það rétt að sýna mynd að þessum manni.	3.33	3
Er það vonandi merki um auknar göngur í Langá.	5.0	2
Er þetta fyrsta loftborna íþróttahúsið á Íslandi.	9.0	1
Everton vann Aston Villa 3 - 0 örugglega á heimavelli.	3.0	1
Eyjan tilheyrir nú Póllandi, eða frá 1945.	5.0	1
Eyjan varð handanhafsumdæmi árið 1946 með umdæmisnúmerið 974.	7.0	1
Fáir skilja sverð sitt eftir fyrir vopnabrak.	6.5	2
Fáninn er einfaldlega megintákn skjaldarmerkisins.	5.0	1
Fáninn var þó ekki formlega tekinn upp fyrr en 1952.	5.0	2
Fannst þeir bara leiðinlegri núna.	5.0	1
Faxaflói að innanverðu hafi allur verið ísilagður, ein hella.	5.0	1
Félagið er þekkt fyrir að tefla aðeins fram böskum í liði sínu.	5.0	3
Félagið leikur í íslandsmóti karla í íshokkí.	5.0	2
Ferðaþjónusta er einnig vaxandi atvinnugrein.	7.67	3
Fifty Shades of Grey er ein vinsælasta bók allra tíma.	3.0	1
Fimmta hvert ár eru hátíðirnar stærri en árin á milli.	3.25	4
Fingrafar Sverrir var þó á málinu.	5.0	1
Fisher fæddist í London, Englandi.	5.0	1
Fjallið sem allir vissu hvað hét nema ég.	5.0	1
Fjárfesting er að aukast en er áfram lítil í sögulegu ljósi.	5.0	1
Fjórða stoðin er fastan í ramadan mánuðinum.	5.5	2
Fleiri hljópu þeir fyrir berg, þar sem við þá er kennt síðan.	5.0	1
Flest börn deyja úr svelti, niðurgangi og vatnsskorti.	4.67	3
Flestir búa í hverfunum Japantown og Little Tokio.	7.0	1
Flestir tala mál sem tilheyra málaflokknum sínum.	0.0	1
Flug hefur verið fellt niður og skólum lokað.	9.0	2
Fólk er sífellt, og fjölgar með árunum, að sækja um skilnað.	3.0	1
Fólk verður mishamingjusamt af sama hlutnum.	7.0	1
Forseti ásamt ríkistjórninni fara með framkvæmdarvaldið.	2.0	1
Forsetinn skipar forsætisráðherrann og ríkisstjórnina.	8.0	1
Frá 945 hafði hann jafnframt verið allsherjargoði.	7.0	2
Fram keppti í Evrópukeppni meistaraliða og komst í 2. umferð.	5.0	1
Framstúlkur sigruðu í bikarkeppninni eftir úrslitaleik gegn ÍR.	7.5	2
Framtíð þjóðarinnar er að veði.	8.0	1
Frá og með mars 2011 hefur Apple selt yfir 60 milljónir tæki.	5.0	1
Frásögn þessi er ekki staðfest af neinum samtímaheimildum.	5.0	3
Frá þessu er greint á vef the Washington Post.	8.5	2
Frétt birtist þess efnis birtist á heimasíðu þess í dag.	1.0	1
Funduðu ráðherrar beggja flokka hvort í sínu lagi á föstudag.	3.5	2
Fyrirtækið fékk lóðinni úthlutaðri um þremur vikum síðar.	2.5	2
Fyrir utan það að önnur framtönnin virðist vera brotinn.	4.33	3
Fyrir þá sem ekki vita hver er Savickas?	5.0	2
Fyrri hálfleikur var stjórnað af KR.	0.0	1
Fyrsta hlutverk Steen í sjónvarpi var árið 1983 í Hangin'In.	8.33	3
Fyrsta húsið sem Aalto teiknaði var byggt hér.	10.0	1
Fyrsta kvikmyndahlutverk Atkinson var árið 1993 í Free Willy.	6.67	3
Fyrsta kvikmyndahlutverk Danson er í The Onion Field frá 1979.	2.5	2
Fyrsta kvikmyndahlutverk Day var árið 2001 í Strings.	4.0	2
Fyrsta kvikmynd Pixar kom út 1995 og var dreift af Disney.	5.0	1
Fyrsta plata hennar,, kom út 1996.	1.0	1
Fyrsta sjónvarpshlutverk Janney var árið 1991 í Morton & Hayes.	5.0	1
Fyrsti kaflinn er Allegro-kafli í Sónötuformi.	5.67	3
Fyrst í Sapporo árið 1972 og svo í Nagano árið 1998.	9.5	2
Gengur vel stæðri manneskju vel dags daglega?	9.0	2
Genk on Stage er heiti á útitónlistarhátíð í Genk.	7.0	2
Gera allt sem manni langar til.	5.0	2
Gerir Dóri þetta til að líkjast hasarmyndahetjunniThe Rock.	2.0	1
Gert var að sárum hans á Slysadeild.	6.0	1
Gestirnir í vandræðum með sóknarleikinn sinn.	4.0	1
Geta keypt sér ótal margt sem að manni langar í.	1.67	3
Geyminn er hægt að hlaða 280 sinnum	4.5	2
Gínea-Bissá er land í Vestur-Afríku.	3.0	1
Gjaldmiðillinn, lilangeni, er festur við suðurafríska randið.	5.0	1
Glæsileg sókn og Keflvíkingar voru með 1 0 forystu í hálfleik.	3.0	2
Glanni er leikinn af Stefáni Karli Stefánssyni.	10.0	1
Gólfið fór að nötra og rauður eldur kveiknar og brennir mig.	5.0	1
Gosið sést ekki á vefmyndavélum þar sem ský birgja sýn.	7.0	1
Green Day gaf út plötu þríleik á árunum 2012 og 2013.	1.0	1
Guð skapar mennina, Guð skapar líka homma og lespíur.	3.33	3
Hæðinn upp að þaksperrunni eru 36 metrar.	0.0	1
Hægt er að skoða hönnun Tinnu á heimasíðunni tiaber. com	5.0	1
Hæsti tindur Gíneu er Nimbafjall 1.752 metra yfir sjávarmáli.	4.33	3
Hæun fer fram á því tungumáli sem er talað á hverjum stað.	2.0	1
Halla er góður stjórnandi með lélega hæfileika í samskiptum.	5.0	1
Hamingjan er ekki fólgin í penginum eða eignum.	7.5	2
Handhrærið trönuberin, appelsínubörkin og saltið saman við.	3.67	3
Hann átti tvö ár eftir af samningi sínum við Barca.	9.0	1
Hann dregur djúpt andann og hleypur loftinu hægt út.	9.0	1
Hann ekur næstum á Ari og Uzi en Royal bjargaði þeim tímanlega.	5.5	2
Hann er ætlar að kaupa bjór.	0.0	2
Hann er hellst við botninn eða miðsvæðis í sjónum.	4.0	3
Hann er hinsvegar ekki mótfallinn því að selja leikmanninn.	7.0	1
Hann fékk hjartaáfall á laugardag og náði aldrei að jafna sig.	5.0	1
Hann fór úr axlarlið og var borinn af velli.	10.0	1
Hann gaf það upp á bátinn og fór út í viðskipti.	5.0	2
Hann grátbað þjóðina afsökunar á hörmulegri framistöðu liðsins.	5.0	3
Hann hafði staðið hinum meginn við netið nánast stjarfklofa.	5.0	2
Hann hafi fengið lykla að láni og síðan bolað leigjendunum út.	5.5	2
Hann hefur játað fjöldamorðin.	6.25	4
Hann kunni ekki að stjórna því, beisla og nýta sér.	5.0	1
Hann má heldur engann veginn missa af þessu.	5.5	2
Hann öðlaðist bandarískan ríkisborgararétt 1977.	5.0	1
Hann sækir um vinnu útum allt.	6.0	1
Hann segir litla spreybrúsa geta virkað eins og byssukúlur.	5.0	1
Hann segir það alþekkt að menn skrifi söguna á eigin forsendum.	10.0	1
Hann skrifaði undir samning til 31. janúar 2017 í dag.	5.0	1
Hann skrifar Eli bréf sem segir frá ást sinni fyrir Margot.	3.0	3
Hann spilaði á bandalausan Fender Jazz bass.	3.5	2
Hann vann einnig útgefandi og blaðamaður.	5.0	1
Hann var ennfremur dæmdur til að greiða allan sakarkostnað.	10.0	1
Hann var þá 24 ára gamall og næstelztur átta systkina.	5.33	3
Hans er fyrst getið í Píningsdómi árið 1490.	10.0	1
Harðlega orðað hjá mér en satt.	4.0	1
Harmarshöllin var blásin upp í Hveragerði á laugardaginn.	5.0	1
Haukar sigruðu í 2. deild.	5.0	1
